Our portfolio of products and services are clearly defined and differentiated.,Our portfolio of products and services are clearly defined and differentiated.,Customer Strategy,10
Our go-to-market strategy defines the skill attributes we need to support our marketing and sales goals.,Our go-to-market strategy defines the skill attributes we need to support our marketing and sales goals.,Go-to-market,10
"We have segmented our audience in a way that informs actionalble strategies, messaging, value propositions and offerings.","We have segmented our audience in a way that informs actionalble strategies, messaging, value propositions and offerings.",Go-to-market,10
"We have defined a  go-to-market strategy which clarifies the role of direct sales, channels, partners and influencers and ","We have defined a  go-to-market strategy which clarifies the role of direct sales, channels, partners and influencers and ",Go-to-market,10
We understand our end-to-end process to convert audience interactions to retained clients/ customers,We understand our end-to-end process to convert audience interactions to retained clients/ customers,Go-to-market,10
We price our products and services for maximum value.,We price our products and services for maximum value.,Go-to-market,10
We understand the amount of investment we need to make for marketing the firm and we invest accordingly.,We understand the amount of investment we need to make for marketing the firm and we invest accordingly.,Resources,10
"We have defined accountibilities,  responsibilities and resource requirements for revenue generation.","We have defined accountibilities,  responsibilities and resource requirements for revenue generation.",Resources,10
We understand the optimal resourcing and budget for sales and marketing and how our spending translates to costs for revenue attained.,We understand the optimal resourcing and budget for sales and marketing and how our spending translates to costs for revenue attained.,Resources,10
Marketing and sales incentives promote positive behaviors centered on revenue performance accountability,Marketing and sales incentives promote positive behaviors centered on revenue performance accountability,Targets & Metrics,10
Our incentive model promotes optimal behaviors for sales performance.,Our incentive model promotes optimal behaviors for sales performance.,Targets & Metrics,10
We understand the levers for achieving growth targets and specified key metrics to guide performance.,We understand the levers for achieving growth targets and specified key metrics to guide performance.,Targets & Metrics,10
"We have established success metrics and incentives for marketing, sales business performance.","We have established success metrics and incentives for marketing, sales business performance.",Targets & Metrics,10
We monitor our progress against our plan on a consistent basis.,We monitor our progress against our plan on a consistent basis.,Targets & Metrics,10
Our teams are properly motivated to achieve individual and team goals.,Our teams are properly motivated to achieve individual and team goals.,Organization,10
We have the right talent levels across marketing and sales.,We have the right talent levels across marketing and sales.,Organization,10
Our compensation and incentives motivates optimal revenue performance.,Our compensation and incentives motivates optimal revenue performance.,Organization,10
Sales teams follow-up diligently with  qualifiedmarketing-generated  leads.,Sales teams follow-up diligently with  qualifiedmarketing-generated  leads.,Process,10
Our collaboration and knowledge management systems facilitte communication and sharing across sales and marketing teams. ,Our collaboration and knowledge management systems facilitte communication and sharing across sales and marketing teams. ,Organization,10
Reps demonstrate leading sales skills which result in strong close rates among the qualified opportunities we pursue.,Reps demonstrate leading sales skills which result in strong close rates among the qualified opportunities we pursue.,Organization,10
"Across the firm, reps consistently use the web and social media to deepen and expand relationships ","Across the firm, reps consistently use the web and social media to deepen and expand relationships ",Organization,10
We have mapped and are using end-to-end marketing and sales processes including stage definitions mapped to the buyer process. ,We have mapped and are using end-to-end marketing and sales processes including stage definitions mapped to the buyer process. ,Process,10
,,Process,10
We have defined the attributes of a MQL vs a SQL (marketing qualified lead/ sales qualified lead),We have defined the attributes of a MQL vs a SQL (marketing qualified lead/ sales qualified lead),Process,10
We score our leads based on their onlne behavior,We score our leads based on their onlne behavior,Process,10
We have processes and skills for prospecting new clients,We have processes and skills for prospecting new clients,Process,10
"When prospects are not fully qualified, we nurture the relationship with support from marketing automation","When prospects are not fully qualified, we nurture the relationship with support from marketing automation",Process,10
Our website(s) is higly visible organically and we regularly appear on the first page of search results for our priority keywords,Our website(s) is higly visible organically and we regularly appear on the first page of search results for our priority keywords,Process,10
Our website is engaging with content and functionality to keep visitors on the site and returning to the site,Our website is engaging with content and functionality to keep visitors on the site and returning to the site,Technology,10
Website branding meets professional standards and is consistent with our offline positioning,Website branding meets professional standards and is consistent with our offline positioning,Technology,10
Our website(s) design & usability allows our users to easily find what they want,Our website(s) design & usability allows our users to easily find what they want,Technology,10
"Conversion points allow website visitors to easily opt-in to targeted actions - e.g. request a proposal, download documents","Conversion points allow website visitors to easily opt-in to targeted actions - e.g. request a proposal, download documents",Technology,10
We have the tools to track behaviours of people on our website and trigger a follow-up engagement,We have the tools to track behaviours of people on our website and trigger a follow-up engagement,Technology,10
"We have an integrated marketing automation solution for email, inbound marketing, drip campaigns and tailored messaging","We have an integrated marketing automation solution for email, inbound marketing, drip campaigns and tailored messaging",Technology,10
Our marketing automation solution is integrated nicely into our CRM (sales force automation) solution,Our marketing automation solution is integrated nicely into our CRM (sales force automation) solution,Technology,10
Our website experiences engage our audience and they spend time on our site consuming our content and using our apps,Our website experiences engage our audience and they spend time on our site consuming our content and using our apps,Technology,10
Our website has the right facilities to allow visitors to introduce/ refer a friends or colleagues and share on social networks.,Our website has the right facilities to allow visitors to introduce/ refer a friends or colleagues and share on social networks.,Technology,10
Systems allow us to use progressive profiling to gain increasing levels of client insight through our interactions over time.,Systems allow us to use progressive profiling to gain increasing levels of client insight through our interactions over time.,Technology,10
We “listen” on the social web to learn about our clients and use social tools to gain client intelligence.,We “listen” on the social web to learn about our clients and use social tools to gain client intelligence.,Technology,10
"Our social media profiles and content tell a consistent and positive story about our capabilities, level of expertise and style of service","Our social media profiles and content tell a consistent and positive story about our capabilities, level of expertise and style of service",Technology,10
Our associates and colleagues use social media consistently and effectively within corporate and legal compliance guidelines,Our associates and colleagues use social media consistently and effectively within corporate and legal compliance guidelines,Technology,10
We publish and engage actively across social media channels ,We publish and engage actively across social media channels ,Technology,10
Our systems give our reps a single and complete view of the customer relationship and interactions,Our systems give our reps a single and complete view of the customer relationship and interactions,Technology,10
"Our CRM, SFA and Sales Support systems are easy to use and fit the day-to-day needs of the business with up-to-date content.","Our CRM, SFA and Sales Support systems are easy to use and fit the day-to-day needs of the business with up-to-date content.",Technology,10
Our CRM helps us track all client communications effectively,Our CRM helps us track all client communications effectively,Technology,10
Our CRM helps us easily track and measure the pipeline of new business to the firm.,Our CRM helps us easily track and measure the pipeline of new business to the firm.,Technology,10
Sales people find the CRM as value add and critical part of their day-to-day work,Sales people find the CRM as value add and critical part of their day-to-day work,Technology,10
We use analytics to track interactions on our website and the page flow goal for our campaigns.,We use analytics to track interactions on our website and the page flow goal for our campaigns.,Technology,10
"Our Blog is integrated in our website and designed to enhance SEO with integrated key words, and social sharings.","Our Blog is integrated in our website and designed to enhance SEO with integrated key words, and social sharings.",Technology,10
"We publish cresative, educational, data-driven, and thought-provoking content that attracts readers and promotes sharing.","We publish cresative, educational, data-driven, and thought-provoking content that attracts readers and promotes sharing.",Technology,10
We publiish actively - at least weekly - to increase lead  conversions.,We publiish actively - at least weekly - to increase lead  conversions.,Technology,10
We publish content variety while maintaining a consistent blog theme,We publish content variety while maintaining a consistent blog theme,Technology,10
You promote engagement in the conversations on your online publshing,You promote engagement in the conversations on your online publshing,Technology,10
Our emails opens effectively on mobile devices,Our emails opens effectively on mobile devices,Technology,10
You engage a personalzed with a preference center/ PURL. ,You engage a personalzed with a preference center/ PURL. ,Technology,10
We use clear value propositions in our emails/ subject lines,We use clear value propositions in our emails/ subject lines,Technology,10
We test emails using A/B techniques to assess performance and adjust strategies.,We test emails using A/B techniques to assess performance and adjust strategies.,Technology,10
We use a closed-loop process to identify audience actions and behaviros across the lifeccyle.,We use a closed-loop process to identify audience actions and behaviros across the lifeccyle.,Technology,10
We work with partners and affiliates to launch sponsored programs/ emails,We work with partners and affiliates to launch sponsored programs/ emails,Technology,10
We regularly test and optimize our email campaigns.,We regularly test and optimize our email campaigns.,Technology,10
Our time to revenue and we maximize conversions at each stage of the customer journey.,Our time to revenue and we maximize conversions at each stage of the customer journey.,Technology,10
"We acquire visitors from the web using social media, content and search strategies.","We acquire visitors from the web using social media, content and search strategies.",Acquire,10
On-page SEO (Search Engine Optimization) makes our website(s) appear on the first page for key words,On-page SEO (Search Engine Optimization) makes our website(s) appear on the first page for key words,Acquire,10
"We use blog(s) to publish creative, differentiated and dynamic content  ","We use blog(s) to publish creative, differentiated and dynamic content  ",Acquire,10
Prospects subscribe to our blog and RSS feeds to receive valuable news and articles.,Prospects subscribe to our blog and RSS feeds to receive valuable news and articles.,Engage,10
We have an established referral program in place that reps use with customers and partners,We have an established referral program in place that reps use with customers and partners,Acquire,10
"Events, speaking and seminars attract prospects into the funnel","Events, speaking and seminars attract prospects into the funnel",Acquire,10
We use digital PR strategies that include social media connectors to expand visitbility and reach.,We use digital PR strategies that include social media connectors to expand visitbility and reach.,Acquire,10
Off-page strategies generate authentic and quality inbound links which improve search listings,Off-page strategies generate authentic and quality inbound links which improve search listings,Acquire,10
"We offer interested clients content media (video, written, presentation) to self-learn about our expertise, solutions approach and offers","We offer interested clients content media (video, written, presentation) to self-learn about our expertise, solutions approach and offers",Engage,10
Lead nurturing is triggered by prospects’ activity or behavior,Lead nurturing is triggered by prospects’ activity or behavior,Engage,10
Our communications with prospects is personalized ,Our communications with prospects is personalized ,Engage,10
"We use progressive profiling, to incrementally gain additional information and build a rich, actionable dataset on each prospect. ","We use progressive profiling, to incrementally gain additional information and build a rich, actionable dataset on each prospect. ",Engage,10
We provide content / assets relevant to the industry segment and buying stage to ensure that communications are matched to buyer needs,We provide content / assets relevant to the industry segment and buying stage to ensure that communications are matched to buyer needs,Engage,10
"Newsletters deliver valuable content to our audience increasing touches we make throughout the year and promoting our offerings, events, and updates.","Newsletters deliver valuable content to our audience increasing touches we make throughout the year and promoting our offerings, events, and updates.",Engage,10
We use webinars and virtual meetings to engage our prospects and customers.,We use webinars and virtual meetings to engage our prospects and customers.,Engage,10
"We have creative and potentially viral content that our audience seeks (infographics, eBooks, White Papers, videos, entertainment)","We have creative and potentially viral content that our audience seeks (infographics, eBooks, White Papers, videos, entertainment)",Engage,10
We use content curation/ commenting tactics to expand on available content,We use content curation/ commenting tactics to expand on available content,Engage,10
Campaign content uses a mix of media to capture mind share,Campaign content uses a mix of media to capture mind share,Engage,10
We have the right mix of digital and traditional campaign elements ,We have the right mix of digital and traditional campaign elements ,Engage,10
We touch our clients multiple times and through multiple channels to increase brand awareness and promote conversions.,We touch our clients multiple times and through multiple channels to increase brand awareness and promote conversions.,Engage,10
"We offer interested clients various content media (video, written, presentation) to self-educate  about our firm, approach and offerings.","We offer interested clients various content media (video, written, presentation) to self-educate  about our firm, approach and offerings.",Engage,10
We tailor content for each stage of the buying process.,We tailor content for each stage of the buying process.,Engage,10
Visitors share content they find on our sites with others in their network.,Visitors share content they find on our sites with others in their network.,Influence,10
Our websites include calsl to action and conversion forms for visitors to opt-in to our database,Our websites include calsl to action and conversion forms for visitors to opt-in to our database,Optimize,10
"We have a healthy marketing database – understanding how it is growing or shrinking, the activity rate of various segments, and how complete records are.","We have a healthy marketing database – understanding how it is growing or shrinking, the activity rate of various segments, and how complete records are.",Optimize,10
"Analytics and scorecards help us understand audience behaviors, measure our dgital performance and take appropriate action","Analytics and scorecards help us understand audience behaviors, measure our dgital performance and take appropriate action",Understand,10
"We measure how marketing activities and campaigns drive pipeline, revenue and ROI. ","We measure how marketing activities and campaigns drive pipeline, revenue and ROI. ",Understand,10
"We know which channels and offers generate the most interest, engagement and conversion","We know which channels and offers generate the most interest, engagement and conversion",Understand,10
We score leads with data about site visitors and actions they take- helping us understand how our website is performing to generate demand,We score leads with data about site visitors and actions they take- helping us understand how our website is performing to generate demand,Understand,10
Our marketing scorecards are easy to understand and use and help us focus us on the actions we can take to improve performance,Our marketing scorecards are easy to understand and use and help us focus us on the actions we can take to improve performance,Understand,10
,,Understand,10
"We monitor and assess the health of the revenue cycle using performance indicators like Value, Reach, Conversion, Velocity and Return.","We monitor and assess the health of the revenue cycle using performance indicators like Value, Reach, Conversion, Velocity and Return.",Understand,10
,,Engage,10
"We engage customers with custom applications, tools, mobile apps","We engage customers with custom applications, tools, mobile apps",Engage,10
Our positioning and branding material is consistently applied across online and offline channels ,Our positioning and branding material is consistently applied across online and offline channels ,Engage,10
We use location-based services or promotions to attract customers ,We use location-based services or promotions to attract customers ,Engage,10
"We make personalized information and targeted offers accessible through online channels (e.g., Web, mobile) ","We make personalized information and targeted offers accessible through online channels (e.g., Web, mobile) ",Engage,10
We use a range of advertising and advanced customer targeting to increase exposure and conversions,We use a range of advertising and advanced customer targeting to increase exposure and conversions,Engage,10
We A-B test the effectiveness of different messages and offers ,We A-B test the effectiveness of different messages and offers ,Engage,10
